fold,seed,median_savings_bps,mean_savings_bps,win_rate_vs_twap,agent_sf_median_bps,twap_sf_median_bps,n_episodes
0,0,-0.5061854953258255,-0.373066293844234,0.48,-0.5489087754471936,-0.7047089284177182,100
0,1,-2.396538363710759,-6.806489690540389,0.32,4.141785074337177,-0.23032884382957808,100
0,2,-0.5061854953258255,-0.5607141814866312,0.48,-0.3448265809488058,-0.230328843830169,100
1,0,1.2665424264923786e-12,-0.01789416163139693,0.53,-1.7750382273189427,-1.7750382273241678,100
1,1,1.3465895065678524e-12,0.466333615991493,0.53,-0.03790921889856133,-1.2521120199757951,100
1,2,-14.764530952882478,-13.565049792393218,0.23,13.439610208836289,-0.48127509509871835,100
2,0,1.0464962230116726e-11,1.1528209198559005,0.51,2.83122836187594,1.6786309255227905,100
2,1,0.9327453161847002,1.2308190642693366,0.57,0.3910270944560097,1.9934398506285411,100
2,2,-11.786842480139311,-11.328082605687241,0.28,10.874305086022975,1.9934398506285411,100
3,0,-1.4939161019356106e-12,-0.09066799127713057,0.42,3.5410541459842086,3.5410541459818594,100
3,1,0.44986455088661703,0.16414091278053053,0.54,1.6078170074826312,3.5410541459818594,100
3,2,-0.6038995559519877,-1.7896958401519962,0.48,3.2309792216196813,3.5410541459818594,100
